날짜,제품,카테고리,지역,매출액,판매수량,단가
2025-01-05,Block Planet Pro,게임,서울,4500000,150,30000
2025-01-12,DECATS 라이선스,CAD솔루션,대전,12000000,4,3000000
2025-01-20,센서측정 시스템,IoT장비,부산,8500000,5,1700000
2025-02-03,Block Planet Pro,게임,경기,3200000,107,29907
2025-02-15,DECATS 라이선스,CAD솔루션,서울,15000000,5,3000000
2025-02-22,AR수술 시뮬레이터,의료SW,서울,22000000,2,11000000
2025-03-08,Block Planet Pro,게임,부산,2800000,93,30108
2025-03-14,센서측정 시스템,IoT장비,대전,10200000,6,1700000
2025-03-25,DECATS 라이선스,CAD솔루션,경기,9000000,3,3000000
2025-04-02,Block Planet Pro,게임,서울,5100000,170,30000
2025-04-18,AR수술 시뮬레이터,의료SW,부산,11000000,1,11000000
2025-04-28,센서측정 시스템,IoT장비,서울,13600000,8,1700000
2025-05-05,Block Planet Pro,게임,경기,4800000,160,30000
2025-05-12,DECATS 라이선스,CAD솔루션,대전,18000000,6,3000000
2025-05-20,센서측정 시스템,IoT장비,부산,8500000,5,1700000
2025-06-01,Block Planet Pro,게임,서울,6300000,210,30000
2025-06-15,AR수술 시뮬레이터,의료SW,서울,33000000,3,11000000
2025-06-22,DECATS 라이선스,CAD솔루션,경기,12000000,4,3000000
2025-07-03,Block Planet Pro,게임,부산,3900000,130,30000
2025-07-14,센서측정 시스템,IoT장비,대전,11900000,7,1700000
2025-07-25,DECATS 라이선스,CAD솔루션,서울,21000000,7,3000000
2025-08-05,Block Planet Pro,게임,서울,7200000,240,30000
2025-08-12,AR수술 시뮬레이터,의료SW,경기,22000000,2,11000000
2025-08-20,센서측정 시스템,IoT장비,부산,10200000,6,1700000
2025-09-02,Block Planet Pro,게임,경기,5400000,180,30000
2025-09-15,DECATS 라이선스,CAD솔루션,대전,24000000,8,3000000
2025-09-22,센서측정 시스템,IoT장비,서울,15300000,9,1700000
2025-10-01,Block Planet Pro,게임,서울,8100000,270,30000
2025-10-14,AR수술 시뮬레이터,의료SW,부산,11000000,1,11000000
2025-10-25,DECATS 라이선스,CAD솔루션,경기,15000000,5,3000000
2025-11-03,Block Planet Pro,게임,부산,6000000,200,30000
2025-11-12,센서측정 시스템,IoT장비,대전,13600000,8,1700000
2025-11-22,DECATS 라이선스,CAD솔루션,서울,18000000,6,3000000
2025-12-01,Block Planet Pro,게임,서울,9600000,320,30000
2025-12-10,AR수술 시뮬레이터,의료SW,서울,44000000,4,11000000
2025-12-18,센서측정 시스템,IoT장비,경기,11900000,7,1700000
2025-12-28,DECATS 라이선스,CAD솔루션,대전,21000000,7,3000000
